competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202411,4,Sul,disturbios_metabolicos,diabetes_na_gestacao,578,22684,2.5481,1954,336803.58,0
202411,4,Sul,hemorragias,hemorragia_pos_parto,37,22684,0.1631,109,15669.33,1
202411,4,Sul,hemorragias,outras_hemorragias_obstetricas,479,22684,2.1116,857,116253.62,1
202411,4,Sul,infeccoes,infeccao_geniturinaria_gestacao,302,22684,1.3313,1147,73858.52,0
202411,4,Sul,infeccoes,infeccao_puerperal,104,22684,0.4585,423,39725.71,0
202411,4,Sul,outras_condicoes_maternas,anemia_complicando_gestacao,10,22684,0.0441,23,1616.42,0
202411,4,Sul,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,1197,22684,5.2768,3625,439707.75,2
202411,4,Sul,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,10,22684,0.0441,37,4002.14,0
202411,4,Sul,outras_condicoes_maternas,outras_condicoes_da_gestacao,233,22684,1.0272,643,66451.57,0
202411,4,Sul,transtornos_hipertensivos,eclampsia,56,22684,0.2469,237,29135.50,0
202411,4,Sul,transtornos_hipertensivos,hipertensao_gestacional,194,22684,0.8552,708,126532.57,0
202411,4,Sul,transtornos_hipertensivos,outros_hipertensivos,311,22684,1.371,1094,231397.61,0
202411,4,Sul,transtornos_hipertensivos,pre_eclampsia,478,22684,2.1072,2392,328582.99,0
202411,5,Centro-Oeste,complicacoes_anestesicas,anestesia_obstetrica,30,14676,0.2044,113,6807.60,0
202411,5,Centro-Oeste,complicacoes_gestacao,liquido_membranas_ou_placenta,437,14676,2.9777,1310,303184.65,0
202411,5,Centro-Oeste,complicacoes_parto,trabalho_de_parto_ou_parto,1851,14676,12.6124,4778,1010854.05,1
202411,5,Centro-Oeste,complicacoes_puerperais,outras_complicacoes_puerperais,133,14676,0.9062,510,55946.32,0
202411,5,Centro-Oeste,complicacoes_vasculares,complicacoes_venosas,15,14676,0.1022,60,2599.86,0
202411,5,Centro-Oeste,complicacoes_vasculares,embolia_obstetrica,1,14676,0.0068,6,3154.30,0
202411,5,Centro-Oeste,desfecho_abortivo,gestacao_com_desfecho_abortivo,1236,14676,8.4219,2027,327366.37,2
202411,5,Centro-Oeste,disturbios_metabolicos,diabetes_na_gestacao,356,14676,2.4257,1129,199131.66,0
202411,5,Centro-Oeste,hemorragias,hemorragia_pos_parto,11,14676,0.075,31,3074.41,0
202411,5,Centro-Oeste,hemorragias,outras_hemorragias_obstetricas,373,14676,2.5416,736,97758.57,0
202411,5,Centro-Oeste,infeccoes,infeccao_geniturinaria_gestacao,286,14676,1.9488,879,48309.88,0
202411,5,Centro-Oeste,infeccoes,infeccao_puerperal,105,14676,0.7155,524,33399.77,0
202411,5,Centro-Oeste,outras_condicoes_maternas,anemia_complicando_gestacao,5,14676,0.0341,28,1586.77,0
202411,5,Centro-Oeste,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,763,14676,5.199,2714,336626.11,0
202411,5,Centro-Oeste,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,2,14676,0.0136,3,1099.30,0
