competencia,codigo_territorio,territorio,grupo_morbidade,subgrupo,registros_aih,denominador_aih_obstetricas,proporcao_aih_obstetricas_pct,dias_permanencia,valor_total,obitos_hospitalares
202408,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,14498,176165,8.2298,24213,3999692.69,7
202408,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4953,176165,2.8116,19821,3056605.98,2
202408,BR,Brasil,hemorragias,hemorragia_pos_parto,219,176165,0.1243,522,113532.37,7
202408,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3396,176165,1.9277,7099,1049556.50,3
202408,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,2726,176165,1.5474,10674,523534.81,1
202408,BR,Brasil,infeccoes,infeccao_puerperal,1254,176165,0.7118,6724,518873.75,1
202408,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,109,176165,0.0619,465,61225.92,0
202408,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5515,176165,3.1306,20775,2123537.74,7
202408,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,49,176165,0.0278,151,17814.12,0
202408,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1226,176165,0.6959,4256,351360.30,0
202408,BR,Brasil,transtornos_hipertensivos,eclampsia,543,176165,0.3082,2430,477585.60,2
202408,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2453,176165,1.3924,8515,1574974.64,0
202408,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2778,176165,1.5769,10157,2199624.84,0
202408,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,5137,176165,2.916,22315,4438704.25,8
202409,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,151,172113,0.0877,427,40052.91,0
202409,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6180,172113,3.5907,18507,4639828.89,1
202409,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,20164,172113,11.7156,54142,13426581.96,8
202409,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,1016,172113,0.5903,3773,484755.67,1
202409,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,194,172113,0.1127,1129,94731.47,0
202409,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,4,172113,0.0023,24,3950.63,0
202409,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,14552,172113,8.4549,24332,3946411.43,3
202409,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4752,172113,2.761,19053,2912194.31,0
202409,BR,Brasil,hemorragias,hemorragia_pos_parto,243,172113,0.1412,663,130705.11,2
202409,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3540,172113,2.0568,7623,1019534.65,2
202409,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,2756,172113,1.6013,10883,560756.14,0
202409,BR,Brasil,infeccoes,infeccao_puerperal,1188,172113,0.6902,6247,452026.67,3
202409,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,107,172113,0.0622,425,44156.06,0
202409,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5565,172113,3.2333,20700,2032446.84,4
202409,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,58,172113,0.0337,196,19682.59,1
202409,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1285,172113,0.7466,4137,398834.06,1
202409,BR,Brasil,transtornos_hipertensivos,eclampsia,534,172113,0.3103,2207,425386.02,1
202409,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2230,172113,1.2957,7917,1405188.34,0
202409,BR,Brasil,transtornos_hipertensivos,outros_hipertensivos,2803,172113,1.6286,9838,2229468.17,2
202409,BR,Brasil,transtornos_hipertensivos,pre_eclampsia,4904,172113,2.8493,20344,4218362.16,5
202410,BR,Brasil,complicacoes_anestesicas,anestesia_obstetrica,171,172041,0.0994,437,47309.67,1
202410,BR,Brasil,complicacoes_gestacao,liquido_membranas_ou_placenta,6037,172041,3.509,18284,4588011.64,6
202410,BR,Brasil,complicacoes_parto,trabalho_de_parto_ou_parto,20467,172041,11.8966,55432,13507634.44,4
202410,BR,Brasil,complicacoes_puerperais,outras_complicacoes_puerperais,1048,172041,0.6092,4435,552643.30,5
202410,BR,Brasil,complicacoes_vasculares,complicacoes_venosas,182,172041,0.1058,1014,81062.80,0
202410,BR,Brasil,complicacoes_vasculares,embolia_obstetrica,3,172041,0.0017,38,9005.15,0
202410,BR,Brasil,desfecho_abortivo,gestacao_com_desfecho_abortivo,15659,172041,9.1019,25129,4218374.50,4
202410,BR,Brasil,disturbios_metabolicos,diabetes_na_gestacao,4726,172041,2.747,18806,2803930.29,0
202410,BR,Brasil,hemorragias,hemorragia_pos_parto,243,172041,0.1412,708,138923.67,1
202410,BR,Brasil,hemorragias,outras_hemorragias_obstetricas,3706,172041,2.1541,8029,1094930.18,4
202410,BR,Brasil,infeccoes,infeccao_geniturinaria_gestacao,2835,172041,1.6479,11212,572243.21,0
202410,BR,Brasil,infeccoes,infeccao_puerperal,1266,172041,0.7359,6771,451613.99,3
202410,BR,Brasil,outras_condicoes_maternas,anemia_complicando_gestacao,115,172041,0.0668,436,43841.47,0
202410,BR,Brasil,outras_condicoes_maternas,doencas_classificadas_em_outros_capitulos,5575,172041,3.2405,20772,2196800.33,2
202410,BR,Brasil,outras_condicoes_maternas,edema_proteinuria_sem_hipertensao,37,172041,0.0215,114,13680.49,0
202410,BR,Brasil,outras_condicoes_maternas,outras_condicoes_da_gestacao,1358,172041,0.7893,4637,392510.73,0
202410,BR,Brasil,transtornos_hipertensivos,eclampsia,484,172041,0.2813,1965,407861.17,6
202410,BR,Brasil,transtornos_hipertensivos,hipertensao_gestacional,2403,172041,1.3968,8378,1549268.58,0
